Tourist_ID,Country_Visited,City_Visited,Mode_of_Travel,Travel_Duration_Days,Number_of_Companions,Total_Travel_Cost,Accommodation_Type,Main_Purpose,Season_of_Visit
1,Germany,Hamburg,Flight,8,4,1060,Hotel,Family Visit,Summer
2,Germany,Berlin,Car,16,3,3972,Hostel,Family Visit,Winter
3,UK,Manchester,Bicycle,8,2,666,Camping,Business,Winter
4,Greece,Thessaloniki,Bicycle,12,3,3644,Hotel,Business,Summer
5,Greece,Thessaloniki,Flight,5,3,1885,Airbnb,Leisure,Spring
6,Greece,Athens,Bicycle,3,4,2633,Hostel,Family Visit,Summer
7,Portugal,Lisbon,Bus,2,4,3585,Hostel,Leisure,Winter
8,Greece,Athens,Train,13,1,674,Camping,Leisure,Winter
9,Portugal,Faro,Bus,11,4,2947,Camping,Leisure,Winter
10,UK,Manchester,Flight,17,3,2099,Hostel,Business,Summer
11,Portugal,Lisbon,Flight,4,5,4090,Hostel,Business,Summer
12,Greece,Athens,Flight,8,5,3088,Airbnb,Family Visit,Spring
13,Spain,Madrid,Car,8,2,2635,Hostel,Business,Summer
14,Austria,Salzburg,Bus,15,2,2241,Camping,Business,Summer
15,Germany,Berlin,Train,10,2,2812,Hostel,Family Visit,Winter
16,Portugal,Lisbon,Flight,3,4,1678,Hotel,Business,Fall
17,UK,London,Train,13,5,975,Airbnb,Business,Spring
18,Italy,Rome,Train,16,3,3352,Airbnb,Business,Summer
19,Netherlands,Utrecht,Train,5,2,4143,Camping,Business,Spring
20,France,Paris,Bus,5,2,1221,Hotel,Leisure,Spring
21,Switzerland,Lucerne,Car,7,2,4043,Hotel,Family Visit,Spring
22,Portugal,Porto,Train,19,2,361,Hostel,Leisure,Fall
23,Germany,Hamburg,Bus,11,4,3542,Airbnb,Leisure,Summer
24,Italy,Rome,Train,9,4,1216,Hostel,Family Visit,Fall
25,Greece,Athens,Bicycle,9,5,537,Airbnb,Business,Winter
26,France,Lyon,Flight,16,5,4193,Hostel,Family Visit,Winter
27,Greece,Athens,Train,14,1,2262,Airbnb,Business,Summer
28,UK,Edinburgh,Bus,14,1,2768,Hostel,Leisure,Spring
29,UK,London,Bicycle,2,4,2895,Hostel,Leisure,Summer
30,Germany,Berlin,Car,12,3,591,Hotel,Leisure,Spring
31,Netherlands,Utrecht,Flight,4,3,4674,Hostel,Family Visit,Fall
32,Spain,Seville,Bicycle,6,2,2478,Hostel,Leisure,Summer
33,Spain,Seville,Train,10,4,400,Airbnb,Family Visit,Spring
34,Portugal,Faro,Bus,9,4,3304,Hotel,Business,Summer
35,Netherlands,Rotterdam,Flight,17,5,2931,Airbnb,Business,Spring
36,Austria,Vienna,Flight,9,3,1770,Hostel,Leisure,Summer
37,Greece,Santorini,Car,2,3,2890,Hostel,Business,Spring
38,Austria,Innsbruck,Car,2,5,702,Airbnb,Business,Summer
39,Austria,Innsbruck,Bicycle,15,3,4688,Hotel,Family Visit,Winter
40,Portugal,Faro,Train,16,2,1684,Airbnb,Leisure,Summer
41,Portugal,Faro,Car,20,1,763,Hotel,Family Visit,Fall
42,Portugal,Lisbon,Bicycle,5,5,1878,Airbnb,Family Visit,Summer
43,Spain,Seville,Car,12,5,1259,Hotel,Business,Spring
44,Austria,Salzburg,Bicycle,14,3,3514,Airbnb,Leisure,Winter
45,Greece,Athens,Train,3,2,1797,Hostel,Business,Winter
46,UK,Manchester,Bus,7,4,3827,Airbnb,Leisure,Summer
47,Netherlands,Utrecht,Bus,12,2,2238,Airbnb,Business,Summer
48,Portugal,Porto,Bicycle,8,1,1506,Airbnb,Leisure,Summer
49,Portugal,Lisbon,Bicycle,14,1,1482,Hotel,Business,Spring
50,Italy,Rome,Flight,8,3,4944,Hostel,Leisure,Winter
51,France,Lyon,Car,6,1,4979,Camping,Leisure,Fall
52,France,Lyon,Flight,16,3,3645,Hostel,Business,Fall
53,Spain,Barcelona,Car,10,4,2053,Camping,Family Visit,Winter
54,Portugal,Lisbon,Train,18,2,4859,Camping,Leisure,Fall
55,France,Lyon,Bicycle,13,2,1836,Airbnb,Business,Fall
56,Germany,Hamburg,Train,18,1,898,Camping,Family Visit,Fall
57,France,Paris,Flight,18,2,4937,Airbnb,Business,Spring
58,Austria,Vienna,Bus,6,1,3674,Airbnb,Business,Spring
59,Austria,Vienna,Bicycle,3,5,1907,Camping,Business,Spring
60,Switzerland,Zurich,Bicycle,7,4,3710,Hostel,Leisure,Fall
61,Germany,Hamburg,Bus,12,3,4696,Camping,Business,Winter
62,France,Nice,Bicycle,7,5,3131,Hotel,Family Visit,Winter
63,Switzerland,Geneva,Bicycle,3,3,3782,Hostel,Family Visit,Winter
64,Switzerland,Lucerne,Car,17,1,3472,Hostel,Leisure,Spring
65,Switzerland,Zurich,Bus,7,5,1994,Camping,Family Visit,Summer
66,Switzerland,Geneva,Bicycle,5,3,1569,Airbnb,Leisure,Winter
67,Switzerland,Lucerne,Car,4,3,3419,Hotel,Family Visit,Winter
68,Portugal,Faro,Flight,8,4,688,Camping,Business,Winter
69,UK,Manchester,Train,2,2,3119,Hotel,Leisure,Winter
70,Netherlands,Amsterdam,Bicycle,2,3,4261,Hotel,Business,Fall
71,France,Paris,Car,11,3,462,Hotel,Leisure,Spring
72,Austria,Vienna,Train,17,2,823,Camping,Family Visit,Fall
73,Italy,Rome,Flight,18,2,3923,Airbnb,Leisure,Winter
74,Netherlands,Amsterdam,Bicycle,6,5,4290,Hostel,Leisure,Winter
75,Spain,Seville,Bicycle,10,1,3370,Hostel,Family Visit,Fall
76,UK,Manchester,Car,20,3,4699,Hotel,Family Visit,Winter
77,Germany,Hamburg,Train,2,4,4882,Camping,Family Visit,Fall
78,Spain,Barcelona,Bus,18,4,1645,Hotel,Business,Winter
79,France,Paris,Train,9,4,453,Hotel,Leisure,Winter
80,Germany,Hamburg,Train,4,1,298,Hostel,Business,Winter
81,Germany,Hamburg,Bicycle,19,2,3977,Airbnb,Family Visit,Winter
82,Portugal,Porto,Flight,4,5,4267,Airbnb,Family Visit,Fall
83,UK,Edinburgh,Flight,2,4,4693,Hostel,Family Visit,Spring
84,Germany,Hamburg,Car,17,4,1727,Airbnb,Leisure,Spring
85,Switzerland,Lucerne,Bicycle,9,3,4696,Airbnb,Family Visit,Fall
86,Germany,Berlin,Bicycle,2,4,1154,Hostel,Business,Winter
87,Switzerland,Zurich,Train,20,5,762,Hostel,Business,Fall
88,Italy,Rome,Flight,9,3,425,Hostel,Business,Winter
89,Netherlands,Amsterdam,Bus,2,4,1159,Airbnb,Business,Winter
90,Spain,Seville,Bus,2,5,3267,Hotel,Business,Winter
91,Switzerland,Zurich,Car,17,3,4842,Airbnb,Family Visit,Summer
92,Switzerland,Geneva,Flight,18,1,1443,Airbnb,Business,Fall
93,Austria,Innsbruck,Bicycle,15,5,2765,Airbnb,Family Visit,Spring
94,Greece,Santorini,Flight,4,4,1260,Hotel,Business,Fall
95,Portugal,Faro,Car,18,5,806,Airbnb,Family Visit,Spring
96,France,Lyon,Train,4,4,1339,Hostel,Family Visit,Spring
97,Germany,Berlin,Car,2,3,327,Hostel,Family Visit,Fall
98,Portugal,Porto,Flight,19,1,769,Airbnb,Business,Fall
99,Italy,Rome,Flight,4,2,4214,Airbnb,Leisure,Spring
100,UK,Manchester,Bicycle,3,3,2737,Hotel,Leisure,Winter
101,Greece,Thessaloniki,Bicycle,3,2,984,Hotel,Leisure,Fall
102,Spain,Barcelona,Train,9,1,4541,Hostel,Leisure,Spring
103,Germany,Berlin,Bus,17,5,3006,Airbnb,Family Visit,Fall
104,Italy,Venice,Bicycle,4,2,2655,Hotel,Business,Winter
105,Portugal,Porto,Flight,14,4,3150,Camping,Business,Winter
106,Germany,Berlin,Bicycle,5,5,4315,Airbnb,Business,Winter
107,Greece,Athens,Bus,2,4,1366,Hotel,Business,Fall
108,Italy,Milan,Flight,3,2,2974,Hostel,Leisure,Winter
109,Netherlands,Amsterdam,Car,20,1,3969,Camping,Leisure,Summer
110,Italy,Venice,Bicycle,18,4,4977,Camping,Family Visit,Summer
111,Switzerland,Zurich,Car,7,3,2691,Airbnb,Family Visit,Winter
112,France,Paris,Flight,6,1,3324,Hotel,Leisure,Summer
113,Greece,Santorini,Bicycle,13,4,204,Hotel,Family Visit,Summer
114,France,Lyon,Flight,8,4,1076,Camping,Business,Fall
115,UK,Manchester,Bus,16,3,4564,Airbnb,Family Visit,Winter
116,Portugal,Faro,Flight,19,4,1893,Hotel,Business,Spring
117,Greece,Thessaloniki,Bicycle,20,1,319,Airbnb,Leisure,Summer
118,Spain,Madrid,Bicycle,20,4,1569,Hotel,Family Visit,Winter
119,Germany,Munich,Bus,6,2,316,Airbnb,Family Visit,Summer
120,Greece,Athens,Train,10,4,1212,Camping,Family Visit,Fall
121,Germany,Berlin,Car,2,2,4929,Airbnb,Business,Summer
122,Italy,Venice,Flight,2,2,759,Hotel,Leisure,Fall
123,Switzerland,Zurich,Bicycle,9,5,3543,Hotel,Leisure,Spring
124,Portugal,Faro,Flight,8,5,2494,Camping,Business,Summer
125,Greece,Thessaloniki,Flight,4,4,4449,Camping,Family Visit,Winter
126,Germany,Munich,Flight,17,3,2944,Airbnb,Business,Summer
127,Spain,Madrid,Bicycle,15,4,3318,Camping,Leisure,Summer
128,Netherlands,Rotterdam,Train,18,4,4748,Hostel,Leisure,Summer
129,Germany,Berlin,Train,13,2,2679,Hostel,Family Visit,Spring
130,UK,London,Bicycle,8,4,1957,Hotel,Family Visit,Winter
131,Portugal,Porto,Bus,6,2,3049,Hotel,Business,Spring
132,Greece,Athens,Flight,11,2,3930,Hostel,Family Visit,Fall
133,Greece,Thessaloniki,Bicycle,2,5,4811,Hotel,Business,Summer
134,Portugal,Lisbon,Flight,17,2,4792,Hostel,Business,Fall
135,Portugal,Porto,Car,13,2,3946,Airbnb,Leisure,Summer
136,Switzerland,Zurich,Train,2,1,2938,Camping,Family Visit,Spring
137,Portugal,Porto,Car,12,5,4113,Hostel,Business,Winter
138,Switzerland,Lucerne,Bicycle,12,4,4580,Camping,Business,Spring
139,Spain,Seville,Bicycle,14,4,3573,Camping,Family Visit,Fall
140,Germany,Hamburg,Bicycle,3,5,2746,Camping,Family Visit,Summer
141,Netherlands,Amsterdam,Bicycle,19,3,2974,Airbnb,Business,Winter
142,Portugal,Lisbon,Bicycle,18,2,975,Hostel,Business,Summer
143,Switzerland,Zurich,Bicycle,11,2,3269,Camping,Family Visit,Spring
144,UK,Edinburgh,Flight,3,3,816,Hostel,Family Visit,Summer
145,Greece,Thessaloniki,Bus,8,4,1025,Hotel,Family Visit,Winter
146,Portugal,Lisbon,Train,19,5,3346,Hostel,Family Visit,Winter
147,Switzerland,Zurich,Bicycle,5,1,3548,Airbnb,Leisure,Summer
148,Switzerland,Lucerne,Train,5,2,2704,Camping,Family Visit,Winter
149,Portugal,Porto,Car,4,1,1322,Airbnb,Family Visit,Spring
150,Spain,Seville,Bus,17,4,2343,Camping,Family Visit,Winter
151,Austria,Innsbruck,Car,6,4,3640,Camping,Business,Summer
152,UK,London,Flight,14,1,3114,Hotel,Business,Fall
153,UK,London,Bicycle,10,1,4152,Hostel,Leisure,Spring
154,Greece,Thessaloniki,Car,17,1,1565,Hostel,Business,Spring
155,UK,Edinburgh,Train,14,3,595,Hostel,Business,Summer
156,France,Paris,Bicycle,10,3,4371,Hostel,Family Visit,Summer
157,Switzerland,Geneva,Flight,10,4,917,Hotel,Family Visit,Fall
158,Greece,Santorini,Car,20,2,343,Camping,Leisure,Summer
159,Greece,Athens,Flight,6,3,4691,Hostel,Family Visit,Winter
160,Switzerland,Geneva,Car,5,5,3422,Hotel,Business,Fall
161,Spain,Barcelona,Bus,17,1,1262,Hostel,Leisure,Spring
162,Germany,Hamburg,Train,14,5,3182,Airbnb,Leisure,Spring
163,Greece,Thessaloniki,Car,15,2,1356,Airbnb,Family Visit,Summer
164,UK,Manchester,Car,4,5,4530,Camping,Leisure,Winter
165,Austria,Salzburg,Bicycle,12,2,1153,Hotel,Leisure,Fall
166,Portugal,Porto,Train,13,1,3524,Hotel,Family Visit,Fall
167,Italy,Venice,Flight,7,5,1391,Hotel,Business,Fall
168,UK,Manchester,Bicycle,11,1,3193,Hostel,Family Visit,Summer
169,Netherlands,Amsterdam,Bicycle,3,5,3436,Hostel,Leisure,Fall
170,Austria,Vienna,Bicycle,7,3,3919,Hostel,Leisure,Fall
171,Italy,Rome,Bus,17,5,2056,Hostel,Family Visit,Winter
172,Austria,Innsbruck,Bicycle,18,1,1524,Hotel,Family Visit,Fall
173,Portugal,Porto,Bicycle,5,4,3341,Hostel,Business,Summer
174,Italy,Venice,Bus,20,5,3123,Hotel,Business,Spring
175,Netherlands,Rotterdam,Flight,8,3,913,Camping,Family Visit,Summer
176,France,Paris,Flight,20,3,4468,Hotel,Family Visit,Spring
177,Austria,Innsbruck,Train,14,2,1443,Camping,Family Visit,Summer
178,Germany,Munich,Flight,9,5,1094,Camping,Family Visit,Fall
179,Portugal,Porto,Train,10,1,2196,Airbnb,Leisure,Spring
180,Austria,Salzburg,Bus,18,1,1023,Camping,Family Visit,Spring
181,Portugal,Faro,Flight,2,5,333,Hotel,Business,Summer
182,Switzerland,Geneva,Train,13,5,2052,Hotel,Business,Spring
183,France,Nice,Car,16,5,4375,Airbnb,Business,Winter
184,UK,Manchester,Car,12,4,1450,Hostel,Family Visit,Winter
185,France,Lyon,Bus,20,4,3712,Hostel,Family Visit,Spring
186,UK,London,Train,19,1,3576,Hostel,Family Visit,Winter
187,Portugal,Faro,Bus,15,1,1596,Airbnb,Family Visit,Summer
188,Spain,Barcelona,Flight,4,1,1553,Airbnb,Family Visit,Winter
189,Portugal,Lisbon,Flight,17,4,867,Hotel,Leisure,Spring
190,UK,Edinburgh,Train,9,2,4385,Airbnb,Leisure,Fall
191,Germany,Berlin,Car,9,2,739,Camping,Leisure,Summer
192,Netherlands,Rotterdam,Bus,6,1,3975,Airbnb,Leisure,Summer
193,Switzerland,Lucerne,Bus,18,1,2708,Airbnb,Business,Winter
194,UK,London,Flight,17,5,3156,Hostel,Leisure,Winter
195,Austria,Vienna,Train,15,3,3524,Camping,Family Visit,Spring
196,UK,Manchester,Flight,7,2,455,Airbnb,Business,Fall
197,Netherlands,Utrecht,Bus,6,1,209,Camping,Family Visit,Winter
198,Germany,Berlin,Car,19,3,1215,Airbnb,Leisure,Summer
199,Greece,Thessaloniki,Bicycle,2,1,2393,Hotel,Family Visit,Spring
200,France,Lyon,Bus,16,1,4358,Airbnb,Business,Fall
201,France,Nice,Bicycle,18,5,4200,Hotel,Family Visit,Spring
202,Spain,Madrid,Flight,3,1,710,Hostel,Family Visit,Spring
203,Germany,Berlin,Train,2,5,4813,Hostel,Leisure,Spring
204,Germany,Hamburg,Bus,18,5,1868,Airbnb,Leisure,Summer
205,Germany,Munich,Car,7,3,1660,Hostel,Family Visit,Winter
206,Switzerland,Geneva,Train,6,5,2924,Airbnb,Leisure,Fall
207,Italy,Milan,Train,11,2,4378,Airbnb,Business,Spring
208,UK,Edinburgh,Train,18,5,2248,Hostel,Business,Summer
209,Austria,Salzburg,Bicycle,20,5,916,Hotel,Business,Summer
210,Portugal,Lisbon,Flight,5,1,4783,Hostel,Leisure,Winter
211,Greece,Thessaloniki,Bicycle,3,4,1774,Airbnb,Leisure,Summer
212,Italy,Rome,Car,3,3,4162,Hotel,Leisure,Fall
213,Portugal,Lisbon,Bus,19,4,2184,Hotel,Business,Winter
214,Portugal,Lisbon,Bus,13,5,3237,Camping,Business,Spring
215,Greece,Santorini,Bicycle,18,5,4181,Hotel,Leisure,Spring
216,UK,Edinburgh,Flight,3,3,4730,Airbnb,Family Visit,Winter
217,Germany,Munich,Flight,8,4,1529,Hotel,Business,Summer
218,France,Paris,Bus,3,2,1558,Hotel,Leisure,Winter
219,Austria,Salzburg,Flight,20,2,1531,Hostel,Leisure,Winter
220,Greece,Athens,Bicycle,7,1,1558,Camping,Business,Fall
221,Italy,Rome,Flight,11,3,2328,Hostel,Business,Spring
222,UK,Manchester,Car,6,5,337,Hotel,Family Visit,Fall
223,UK,London,Train,18,2,3032,Camping,Business,Summer
224,France,Paris,Bicycle,6,2,4500,Hostel,Leisure,Fall
225,Italy,Venice,Flight,12,3,4023,Camping,Family Visit,Winter
226,Netherlands,Rotterdam,Bicycle,12,3,960,Hostel,Business,Summer
227,Spain,Barcelona,Flight,17,3,3645,Hostel,Family Visit,Fall
228,Spain,Madrid,Bus,17,4,4655,Camping,Family Visit,Winter
229,France,Lyon,Flight,5,1,3466,Hostel,Business,Winter
230,Switzerland,Lucerne,Flight,4,3,4388,Airbnb,Family Visit,Summer
231,Switzerland,Lucerne,Bicycle,19,5,3322,Hostel,Family Visit,Fall
232,Switzerland,Geneva,Bicycle,20,5,4899,Hotel,Family Visit,Winter
233,Portugal,Faro,Car,11,5,723,Camping,Family Visit,Fall
234,Switzerland,Geneva,Flight,15,2,2168,Airbnb,Family Visit,Summer
235,France,Paris,Flight,15,2,2496,Hostel,Business,Winter
236,France,Lyon,Car,16,1,2461,Camping,Family Visit,Spring
237,France,Nice,Train,16,3,3078,Hotel,Family Visit,Summer
238,Netherlands,Utrecht,Flight,17,5,4632,Camping,Leisure,Fall
239,Italy,Venice,Car,5,1,2255,Airbnb,Business,Summer
240,France,Paris,Flight,18,3,1476,Camping,Business,Fall
241,Spain,Seville,Bus,16,2,4323,Camping,Family Visit,Spring
242,Portugal,Faro,Train,15,2,564,Hostel,Family Visit,Fall
243,Portugal,Lisbon,Bicycle,15,3,1846,Hostel,Business,Fall
244,Spain,Barcelona,Bus,15,3,1731,Airbnb,Business,Winter
245,Austria,Salzburg,Train,14,2,2106,Hostel,Family Visit,Winter
246,France,Paris,Bicycle,16,1,4780,Hotel,Leisure,Fall
247,Austria,Innsbruck,Bicycle,11,1,1496,Airbnb,Leisure,Spring
248,Switzerland,Lucerne,Bicycle,8,2,325,Camping,Leisure,Winter
249,Italy,Venice,Car,13,1,3796,Airbnb,Family Visit,Spring
250,Italy,Rome,Bus,5,2,266,Hostel,Leisure,Fall
251,Switzerland,Lucerne,Car,10,5,1369,Camping,Business,Summer
252,Germany,Berlin,Train,16,4,4406,Hotel,Leisure,Fall
253,Spain,Barcelona,Train,3,1,2672,Hotel,Business,Fall
254,Austria,Salzburg,Bicycle,6,4,1961,Hostel,Business,Spring
255,Austria,Vienna,Flight,14,5,3648,Hotel,Leisure,Spring
256,France,Lyon,Bus,2,5,2909,Hostel,Leisure,Winter
257,Spain,Seville,Bicycle,7,4,3621,Hostel,Leisure,Fall
258,Portugal,Lisbon,Train,12,1,442,Camping,Leisure,Summer
259,Netherlands,Rotterdam,Bicycle,9,5,2795,Airbnb,Business,Summer
260,France,Nice,Flight,7,2,667,Airbnb,Family Visit,Winter
261,Portugal,Porto,Car,12,4,845,Airbnb,Family Visit,Fall
262,Austria,Salzburg,Car,18,3,4489,Camping,Family Visit,Fall
263,Greece,Athens,Flight,16,3,1341,Airbnb,Leisure,Winter
264,UK,Manchester,Car,5,3,923,Airbnb,Leisure,Spring
265,Greece,Santorini,Bicycle,2,4,4408,Hotel,Business,Summer
266,France,Lyon,Bicycle,13,1,4949,Hotel,Business,Winter
267,Italy,Milan,Bicycle,7,5,2117,Hotel,Leisure,Spring
268,Germany,Berlin,Train,12,4,2226,Camping,Family Visit,Summer
269,Switzerland,Lucerne,Bicycle,4,1,1101,Hotel,Business,Fall
270,Germany,Munich,Train,19,2,460,Airbnb,Leisure,Spring
271,UK,Manchester,Train,11,4,2260,Airbnb,Family Visit,Fall
272,UK,London,Car,9,2,1819,Airbnb,Family Visit,Winter
273,Germany,Hamburg,Flight,2,5,2576,Camping,Family Visit,Summer
274,Switzerland,Zurich,Bicycle,18,1,2194,Hostel,Business,Spring
275,Portugal,Porto,Train,16,3,3877,Camping,Business,Summer
276,Netherlands,Rotterdam,Bicycle,18,5,4227,Hostel,Leisure,Summer
277,France,Lyon,Bicycle,13,2,4629,Hostel,Leisure,Spring
278,Netherlands,Rotterdam,Bicycle,12,1,2835,Camping,Leisure,Summer
279,Germany,Hamburg,Bus,4,3,2760,Airbnb,Leisure,Spring
280,Netherlands,Amsterdam,Train,9,4,4050,Airbnb,Family Visit,Summer
281,Italy,Rome,Bicycle,10,5,1514,Hotel,Family Visit,Summer
282,Greece,Thessaloniki,Bus,6,5,3098,Camping,Family Visit,Winter
283,Greece,Athens,Bicycle,15,2,2821,Airbnb,Family Visit,Spring
284,Austria,Vienna,Train,5,1,1265,Hotel,Leisure,Fall
285,Portugal,Faro,Flight,19,3,4870,Camping,Leisure,Fall
286,Austria,Salzburg,Car,16,1,2912,Hostel,Business,Fall
287,Greece,Santorini,Bus,18,1,3254,Camping,Leisure,Fall
288,Italy,Venice,Flight,3,5,3887,Hotel,Leisure,Winter
289,Austria,Vienna,Flight,9,3,3310,Airbnb,Family Visit,Summer
290,Portugal,Lisbon,Car,20,3,1402,Hotel,Family Visit,Summer
291,Spain,Barcelona,Car,9,2,2235,Hotel,Business,Fall
292,France,Nice,Bus,8,3,619,Camping,Leisure,Summer
293,Greece,Thessaloniki,Train,7,1,1320,Hostel,Leisure,Summer
294,Germany,Hamburg,Bus,6,3,1150,Camping,Business,Summer
295,Italy,Milan,Flight,2,4,2845,Airbnb,Business,Fall
296,Netherlands,Utrecht,Bicycle,3,2,4812,Camping,Leisure,Summer
297,Switzerland,Zurich,Bicycle,11,1,3053,Hotel,Leisure,Summer
298,Italy,Venice,Flight,14,4,3428,Airbnb,Leisure,Summer
299,Greece,Thessaloniki,Flight,9,5,3428,Camping,Business,Summer
300,Italy,Rome,Train,16,4,3091,Hostel,Business,Summer
301,Germany,Hamburg,Bus,14,2,294,Hotel,Family Visit,Summer
302,Netherlands,Utrecht,Bus,20,3,2155,Hostel,Business,Fall
303,Austria,Innsbruck,Train,5,2,2034,Hotel,Family Visit,Summer
304,Germany,Berlin,Flight,6,4,4306,Hostel,Family Visit,Winter
305,UK,Edinburgh,Car,11,2,2549,Hostel,Family Visit,Summer
306,UK,Manchester,Flight,12,4,2465,Airbnb,Leisure,Summer
307,France,Nice,Bicycle,14,2,1184,Airbnb,Business,Summer
308,Austria,Innsbruck,Bus,2,4,2930,Hotel,Business,Summer
309,Spain,Barcelona,Train,13,4,4651,Hostel,Family Visit,Summer
310,Germany,Munich,Train,17,4,3135,Airbnb,Family Visit,Winter
311,Spain,Seville,Bus,6,2,3256,Hotel,Leisure,Summer
312,Austria,Innsbruck,Flight,10,3,3733,Hotel,Leisure,Summer
313,Portugal,Faro,Bus,9,1,3997,Hostel,Business,Fall
314,UK,Manchester,Bicycle,12,1,3061,Airbnb,Family Visit,Winter
315,Portugal,Faro,Train,6,5,3617,Hotel,Business,Summer
316,France,Paris,Car,15,4,1405,Hotel,Family Visit,Fall
317,France,Paris,Car,2,3,2908,Hotel,Business,Fall
318,Italy,Venice,Car,16,1,1532,Hotel,Family Visit,Spring
319,Greece,Santorini,Car,10,2,3707,Hostel,Family Visit,Winter
320,Netherlands,Utrecht,Car,10,3,774,Hostel,Business,Fall
321,Portugal,Porto,Car,12,2,3481,Hostel,Family Visit,Fall
322,Spain,Barcelona,Flight,3,3,3800,Camping,Leisure,Winter
323,Italy,Milan,Car,12,3,1405,Hostel,Business,Winter
324,Austria,Vienna,Bus,8,4,3772,Hotel,Family Visit,Summer
325,Germany,Berlin,Train,2,1,4580,Hostel,Family Visit,Summer
326,Austria,Innsbruck,Flight,12,2,2403,Hostel,Business,Summer
327,Portugal,Lisbon,Bus,19,5,3320,Airbnb,Business,Fall
328,Spain,Seville,Flight,8,1,3632,Hotel,Leisure,Summer
329,Portugal,Lisbon,Train,18,4,3901,Camping,Leisure,Winter
330,Spain,Seville,Train,9,1,4622,Camping,Business,Fall
331,Austria,Vienna,Flight,2,5,1189,Airbnb,Leisure,Winter
332,Netherlands,Rotterdam,Bus,20,3,1151,Hotel,Business,Winter
